42 -0.5 0.5 0.5 1.5 1.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 
-0.5 0.0494033 0.0494033 0.0770906 0.0770906 0.0921251 0.0921251 0.0921251 0.0921251 0.0770906 0.0770906 0.0494033 0.0494033
0.5 0.0494033 0.0494033 0.0770906 0.0770906 0.0921251 0.0921251 0.0921251 0.0921251 0.0770906 0.0770906 0.0494033 0.0494033
0.5 0.113281 0.113281 0.190634 0.190634 0.204183 0.204183 0.204183 0.204183 0.190634 0.190634 0.113281 0.113281
1.5 0.113281 0.113281 0.190634 0.190634 0.204183 0.204183 0.204183 0.204183 0.190634 0.190634 0.113281 0.113281
1.5 0.121953 0.121953 0.20167 0.20167 0.179288 0.179288 0.179288 0.179288 0.20167 0.20167 0.121953 0.121953
2.5 0.121953 0.121953 0.20167 0.20167 0.179288 0.179288 0.179288 0.179288 0.20167 0.20167 0.121953 0.121953
2.5 0.129756 0.129756 0.207468 0.207468 0.203523 0.203523 0.203523 0.203523 0.207468 0.207468 0.129756 0.129756
3.5 0.129756 0.129756 0.207468 0.207468 0.203523 0.203523 0.203523 0.203523 0.207468 0.207468 0.129756 0.129756
3.5 0.121953 0.121953 0.20167 0.20167 0.179288 0.179288 0.179288 0.179288 0.20167 0.20167 0.121953 0.121953
4.5 0.121953 0.121953 0.20167 0.20167 0.179288 0.179288 0.179288 0.179288 0.20167 0.20167 0.121953 0.121953
4.5 0.113281 0.113281 0.190634 0.190634 0.204183 0.204183 0.204183 0.204183 0.190634 0.190634 0.113281 0.113281
5.5 0.113281 0.113281 0.190634 0.190634 0.204183 0.204183 0.204183 0.204183 0.190634 0.190634 0.113281 0.113281
5.5 0.0494033 0.0494033 0.0770906 0.0770906 0.0921251 0.0921251 0.0921251 0.0921251 0.0770906 0.0770906 0.0494033 0.0494033
6.5 0.0494033 0.0494033 0.0770906 0.0770906 0.0921251 0.0921251 0.0921251 0.0921251 0.0770906 0.0770906 0.0494033 0.0494033
